residence_hall,time,raw,norm,score
3rd and Union,00:00:00,22,-0.376824876,
3rd and Union,00:30:00,23,-0.248485969,
3rd and Union,01:00:00,22,-0.376824876,
3rd and Union,01:30:00,18,-0.890180504,
3rd and Union,02:00:00,17,-1.018519411,
3rd and Union,02:30:00,16,-1.146858318,
3rd and Union,03:00:00,16,-1.146858318,
3rd and Union,03:30:00,16,-1.146858318,
3rd and Union,04:30:00,14,-1.403536132,
3rd and Union,05:00:00,14,-1.403536132,
3rd and Union,05:30:00,14,-1.403536132,
3rd and Union,06:00:00,14,-1.403536132,
3rd and Union,06:30:00,14,-1.403536132,
3rd and Union,07:00:00,14,-1.403536132,
3rd and Union,07:30:00,17,-1.018519411,
3rd and Union,08:00:00,20,-0.63350269,
3rd and Union,08:30:00,25,0.008191845,
3rd and Union,09:00:00,15,-1.275197225,
3rd and Union,09:30:00,25,0.008191845,
3rd and Union,10:00:00,25,0.008191845,
3rd and Union,10:30:00,26,0.136530752,
3rd and Union,11:00:00,23,-0.248485969,
3rd and Union,11:30:00,20,-0.63350269,
3rd and Union,12:00:00,23,-0.248485969,
3rd and Union,12:30:00,25,0.008191845,
3rd and Union,13:00:00,30,0.64988638,
3rd and Union,13:30:00,26,0.136530752,
3rd and Union,14:00:00,33,1.034903101,
3rd and Union,14:30:00,38,1.676597636,
3rd and Union,15:00:00,26,0.136530752,
3rd and Union,15:30:00,30,0.64988638,
3rd and Union,16:00:00,24,-0.120147062,
3rd and Union,16:30:00,26,0.136530752,
3rd and Union,17:00:00,25,0.008191845,
3rd and Union,17:30:00,27,0.264869659,
3rd and Union,18:00:00,38,1.676597636,
3rd and Union,18:30:00,36,1.419919822,
3rd and Union,19:00:00,35,1.291580915,
3rd and Union,19:30:00,34,1.163242008,
3rd and Union,20:00:00,42,2.189953264,
3rd and Union,20:30:00,37,1.548258729,
3rd and Union,21:00:00,30,0.64988638,
3rd and Union,21:30:00,31,0.778225287,
3rd and Union,22:00:00,36,1.419919822,
3rd and Union,22:30:00,31,0.778225287,
3rd and Union,23:00:00,32,0.906564194,
3rd and Union,23:30:00,27,0.264869659,
Ashton,00:00:00,140,0.158095095,
Ashton,00:30:00,122,-0.164968795,
Ashton,01:00:00,109,-0.398292715,
Ashton,01:30:00,90,-0.739304598,
Ashton,02:00:00,88,-0.775200586,
Ashton,02:30:00,81,-0.900836543,
Ashton,03:00:00,73,-1.044420493,
Ashton,03:30:00,65,-1.188004444,
Ashton,04:30:00,58,-1.313640401,
Ashton,05:00:00,60,-1.277744414,
Ashton,05:30:00,57,-1.331588395,
Ashton,06:00:00,49,-1.475172346,
Ashton,06:30:00,46,-1.529016328,
Ashton,07:00:00,53,-1.403380371,
Ashton,07:30:00,54,-1.385432377,
Ashton,08:00:00,49,-1.475172346,
Ashton,08:30:00,52,-1.421328364,
Ashton,09:00:00,58,-1.313640401,
Ashton,09:30:00,65,-1.188004444,
Ashton,10:00:00,92,-0.70340861,
Ashton,10:30:00,122,-0.164968795,
Ashton,11:00:00,139,0.140147101,
Ashton,11:30:00,155,0.427315003,
Ashton,12:00:00,173,0.750378892,
Ashton,12:30:00,186,0.983702812,
Ashton,13:00:00,193,1.109338769,
Ashton,13:30:00,188,1.0195988,
Ashton,14:00:00,179,0.858066855,
Ashton,14:30:00,191,1.073442781,
Ashton,15:00:00,203,1.288818708,
Ashton,15:30:00,189,1.037546794,
Ashton,16:00:00,194,1.127286763,
Ashton,16:30:00,200,1.234974726,
Ashton,17:00:00,209,1.396506671,
Ashton,17:30:00,203,1.288818708,
Ashton,18:00:00,170,0.69653491,
Ashton,18:30:00,162,0.55295096,
Ashton,19:00:00,152,0.373471021,
Ashton,19:30:00,155,0.427315003,
Ashton,20:00:00,168,0.660638923,
Ashton,20:30:00,178,0.840118861,
Ashton,21:00:00,179,0.858066855,
Ashton,21:30:00,184,0.947806824,
Ashton,22:00:00,168,0.660638923,
Ashton,22:30:00,156,0.445262996,
Ashton,23:00:00,161,0.535002966,
Ashton,23:30:00,148,0.301679046,
BBHN,00:00:00,39,0.096461209,
BBHN,00:30:00,35,-0.407280658,
BBHN,01:00:00,31,-0.911022525,
BBHN,01:30:00,28,-1.288828926,
BBHN,02:00:00,31,-0.911022525,
BBHN,02:30:00,31,-0.911022525,
BBHN,03:00:00,31,-0.911022525,
BBHN,03:30:00,31,-0.911022525,
BBHN,04:30:00,29,-1.162893459,
BBHN,05:00:00,28,-1.288828926,
BBHN,05:30:00,28,-1.288828926,
BBHN,06:00:00,27,-1.414764392,
BBHN,06:30:00,27,-1.414764392,
BBHN,07:00:00,28,-1.288828926,
BBHN,07:30:00,28,-1.288828926,
BBHN,08:00:00,27,-1.414764392,
BBHN,08:30:00,29,-1.162893459,
BBHN,09:00:00,30,-1.036957992,
BBHN,09:30:00,33,-0.659151592,
BBHN,10:00:00,37,-0.155409725,
BBHN,10:30:00,42,0.474267609,
BBHN,11:00:00,50,1.481751343,
BBHN,11:30:00,46,0.978009476,
BBHN,12:00:00,47,1.103944943,
BBHN,12:30:00,42,0.474267609,
BBHN,13:00:00,42,0.474267609,
